aX,aY,aZ,gX,gY,gZ
0.497,-0.052,0.373,19.348,67.139,-2.319
0.512,-0.054,0.388,16.846,64.331,-2.197
0.526,-0.045,0.301,14.160,63.782,-2.136
0.544,-0.038,0.270,13.367,59.875,-2.563
0.555,-0.068,0.268,13.000,53.894,-3.906
0.568,-0.097,0.246,11.902,48.584,-4.456
0.578,-0.112,0.265,11.353,42.480,-4.272
0.585,-0.117,0.257,11.230,37.231,-3.967
0.593,-0.112,0.285,10.132,31.616,-3.540
0.606,-0.132,0.352,8.362,25.635,-3.662
0.618,-0.137,0.377,6.348,22.156,-3.601
0.625,-0.119,0.404,5.005,19.348,-3.235
0.635,-0.153,0.424,4.211,16.113,-3.906
0.641,-0.172,0.446,3.540,13.489,-4.089
0.646,-0.163,0.477,3.479,10.925,-3.113
0.649,-0.180,0.529,3.479,8.423,-3.235
0.650,-0.180,0.552,3.723,7.141,-2.808
0.653,-0.195,0.550,3.540,6.775,-2.502
0.657,-0.196,0.578,3.967,5.188,-2.136
0.662,-0.209,0.568,3.113,4.517,-1.465
0.666,-0.197,0.567,1.465,3.662,-0.305
0.669,-0.173,0.610,0.977,1.465,1.099
-0.267,0.676,1.878,-74.219,-175.049,41.443
-0.243,0.715,2.013,-71.716,-163.757,36.865
-0.203,0.676,2.071,-70.374,-150.330,30.273
-0.179,0.720,2.199,-67.017,-136.658,25.146
-0.157,0.652,2.094,-66.406,-118.042,19.104
-0.136,0.636,2.102,-64.209,-102.905,14.343
-0.114,0.602,2.032,-61.157,-89.966,10.986
-0.095,0.608,1.973,-59.387,-76.965,8.728
-0.086,0.585,1.921,-55.237,-66.711,5.920
-0.076,0.543,1.870,-49.072,-56.152,2.930
-0.072,0.536,1.802,-40.588,-46.570,1.282
-0.079,0.507,1.757,-31.311,-37.903,-0.916
-0.085,0.491,1.693,-24.231,-28.870,-2.502
-0.093,0.473,1.587,-21.362,-18.921,-3.906
-0.100,0.432,1.480,-19.897,-10.864,-5.798
-0.109,0.396,1.370,-19.287,-4.456,-6.775
-0.116,0.369,1.269,-18.127,-0.122,-6.653
-0.117,0.359,1.201,-16.052,2.686,-5.981
-0.117,0.367,1.144,-13.245,4.578,-5.005
-0.118,0.368,1.102,-9.644,6.104,-4.761
-0.118,0.349,1.061,-6.409,7.019,-5.249
-0.113,0.332,1.036,-4.150,7.507,-5.310
-0.109,0.320,1.017,-2.625,7.996,-5.188
-0.108,0.279,0.979,-2.563,9.460,-4.944
-0.105,0.257,0.936,-2.747,10.315,-3.845
-0.100,0.269,0.896,-3.052,10.864,-1.831
-0.093,0.292,0.866,-3.418,10.437,-0.244
-0.088,0.316,0.862,-3.174,9.155,0.488
-0.086,0.310,0.849,-3.296,8.362,0.427
-0.081,0.321,0.852,-3.723,7.568,0.427
-0.081,0.313,0.865,-3.723,6.165,0.366
-0.076,0.325,0.875,-3.296,5.432,0.610
-0.069,0.339,0.887,-2.075,4.944,0.671
-0.068,0.327,0.910,-1.221,4.150,-0.183
-0.069,0.312,0.931,-0.366,4.089,-0.427
-0.064,0.316,0.970,-0.305,4.456,0.061
-0.062,0.332,0.991,-0.793,5.615,0.793
-0.067,0.333,0.991,-1.526,7.446,0.854
-0.070,0.346,1.010,-0.977,8.484,1.099
-0.070,0.371,1.057,0.732,9.094,1.282
-0.069,0.374,1.098,2.136,10.742,0.183
-0.069,0.377,1.115,3.235,13.794,-0.916
-0.069,0.387,1.122,4.333,16.968,-1.526
-0.066,0.392,1.145,4.944,19.287,-2.502
-0.071,0.365,1.178,5.676,21.851,-3.845
-0.073,0.372,1.212,7.324,24.963,-4.150
-0.073,0.385,1.271,9.888,27.893,-4.333
-0.073,0.367,1.340,12.207,31.433,-5.310
-0.069,0.373,1.380,13.611,37.048,-5.737
-0.067,0.379,1.417,14.160,43.335,-6.042
-0.063,0.373,1.431,14.526,50.110,-6.775
-0.062,0.363,1.437,15.869,57.373,-7.324
-0.057,0.379,1.452,19.409,64.209,-7.568
-0.057,0.370,1.454,23.682,70.801,-8.118
-0.052,0.371,1.468,26.855,77.148,-8.301
-0.053,0.371,1.495,30.640,83.191,-8.423
-0.054,0.368,1.529,34.424,89.661,-8.728
