aX,aY,aZ,gX,gY,gZ
0.927,0.040,-0.039,-46.570,89.478,-30.151
0.920,0.043,-0.021,-41.565,93.262,-32.471
0.858,0.053,-0.149,-41.992,99.792,-34.058
0.790,-0.056,-0.233,-42.114,102.722,-37.903
0.730,-0.162,-0.291,-41.748,101.501,-40.527
0.704,-0.193,-0.343,-43.213,100.159,-39.124
0.690,-0.217,-0.358,-48.401,96.619,-36.987
0.684,-0.230,-0.396,-52.979,94.543,-35.278
0.684,-0.217,-0.374,-54.810,91.553,-33.264
0.679,-0.164,-0.428,-53.467,91.125,-31.311
0.695,-0.164,-0.411,-49.927,89.355,-31.921
0.699,-0.165,-0.412,-44.739,88.013,-33.203
0.740,-0.168,-0.389,-40.894,87.524,-33.325
0.764,-0.183,-0.447,-39.612,87.463,-33.325
0.792,-0.163,-0.502,-39.490,87.219,-31.982
0.835,-0.212,-0.427,-38.696,83.252,-31.738
0.875,0.243,2.029,7.385,-113.586,42.053
0.986,0.351,1.845,41.992,-79.468,24.048
1.087,0.271,1.617,69.214,-53.955,0.061
1.153,-0.073,1.406,73.669,-41.077,-16.663
1.198,-0.440,1.470,54.138,-40.100,-18.738
1.213,-0.417,1.551,27.466,-37.659,-0.061
1.216,-0.142,1.542,4.578,-28.198,22.278
1.197,0.099,1.475,-6.348,-16.602,33.508
1.147,0.135,1.357,-10.132,-4.883,33.020
1.079,0.133,1.121,-14.282,6.897,30.090
1.013,0.145,0.925,-18.555,15.198,29.297
0.944,0.131,0.786,-22.156,19.470,27.893
0.897,0.131,0.578,-23.865,23.743,25.879
0.872,0.139,0.396,-23.132,25.696,22.888
0.866,0.073,0.298,-20.996,23.132,17.883
0.880,0.052,0.192,-18.494,21.240,14.709
0.893,0.081,0.162,-14.771,17.395,13.123
0.908,0.100,0.191,-11.353,13.428,10.437
0.923,0.074,0.208,-7.507,10.986,6.287
0.929,0.039,0.221,-4.089,9.399,2.502
0.937,0.007,0.233,-1.099,7.935,-0.122
0.941,0.002,0.251,1.160,6.165,-1.343
0.942,-0.013,0.255,2.686,5.371,-1.770
0.940,-0.047,0.282,4.639,3.967,-2.075
0.945,-0.027,0.292,5.371,3.235,-0.488
0.952,0.007,0.317,5.249,2.380,1.221
0.954,0.022,0.343,4.578,2.014,1.587
0.958,0.047,0.421,4.028,1.648,1.648
0.959,0.028,0.434,3.052,3.479,0.732
0.947,0.040,0.408,2.502,6.775,0.183
0.933,0.032,0.410,1.831,7.874,-0.427
0.918,0.022,0.408,-0.122,8.972,-0.854
0.902,0.023,0.385,-2.075,10.498,-1.038
0.888,-0.006,0.384,-3.479,11.230,-0.977
0.883,-0.055,0.374,-4.883,11.536,-0.610
0.886,-0.065,0.357,-6.470,11.902,1.709
0.892,-0.058,0.377,-8.179,10.986,4.944
0.902,-0.027,0.411,-9.827,10.681,8.240
0.913,0.038,0.420,-10.681,11.597,10.864
0.926,0.068,0.447,-11.780,11.963,10.803
0.935,0.095,0.474,-12.939,12.634,9.094
0.944,0.088,0.508,-13.550,14.038,6.531
0.953,0.049,0.520,-14.587,15.991,4.089
0.960,0.020,0.525,-16.968,18.127,3.357
0.966,0.015,0.552,-19.043,19.714,4.272
0.976,-0.005,0.532,-20.874,22.461,5.005
0.983,0.011,0.503,-22.095,25.085,6.287
0.988,0.020,0.509,-22.644,26.550,7.080
0.991,0.035,0.515,-22.583,28.015,7.263
0.989,0.023,0.521,-21.851,30.090,6.470
0.983,0.042,0.520,-20.447,31.799,6.348
0.979,0.037,0.547,-18.921,33.264,5.798
0.975,0.030,0.579,-19.226,34.851,4.761
0.968,0.033,0.570,-21.484,38.025,4.944
0.971,-0.012,0.594,-25.391,40.466,4.761
0.982,-0.028,0.604,-29.724,43.091,6.104
0.987,0.002,0.598,-33.142,46.753,8.667
0.989,0.010,0.639,-36.499,49.377,10.071
0.978,0.028,0.629,-39.185,54.016,10.681
0.967,0.059,0.595,-40.771,59.814,10.437
0.947,0.022,0.601,-40.771,63.904,8.362
0.935,-0.011,0.582,-41.321,68.420,6.348
0.920,-0.021,0.549,-41.077,73.853,6.104
0.915,-0.031,0.475,-42.908,78.308,5.859
0.920,-0.011,0.412,-44.495,81.482,6.287
0.921,-0.056,0.388,-45.410,82.336,5.737
0.924,-0.084,0.340,-49.622,83.374,7.507
0.923,-0.064,0.313,-53.528,83.191,10.986
0.920,-0.036,0.332,-55.969,82.397,14.343
0.917,0.061,0.337,-55.969,82.886,16.724
0.901,0.099,0.331,-51.880,84.290,15.198
0.900,0.132,0.304,-48.828,85.999,11.292
0.900,0.152,0.276,-42.786,87.036,6.348
0.898,0.062,0.219,-37.476,88.379,0.610
0.899,0.038,0.189,-35.034,88.562,-1.831
0.911,0.020,0.154,-34.363,88.013,-2.014
0.911,-0.009,0.093,-38.269,87.402,-2.014
0.917,-0.004,0.039,-42.725,85.388,-0.427
0.917,-0.077,0.026,-47.485,81.604,0.427
0.919,-0.085,0.015,-52.185,77.820,3.906
0.917,-0.045,0.048,-53.589,74.219,8.057
0.906,-0.002,0.032,-51.208,71.838,10.071
0.923,0.099,0.046,-42.786,71.350,10.193
0.930,0.131,0.079,-29.663,71.716,6.226
0.939,0.182,0.014,-20.203,76.477,0.610
0.942,0.176,-0.046,-14.160,79.712,-4.517
0.939,0.074,-0.135,-16.296,81.360,-10.132
0.926,0.010,-0.273,-24.780,80.444,-10.742
0.911,-0.080,-0.357,-34.119,74.707,-9.094
0.896,-0.124,-0.302,-40.894,64.087,-4.883
0.875,-0.081,-0.283,-47.119,56.641,1.343
0.852,-0.021,-0.296,-51.147,51.086,6.042
0.834,0.041,-0.255,-48.706,44.434,6.836
0.830,0.021,-0.260,-43.335,39.856,3.784
0.846,0.003,-0.154,-33.630,34.485,0.549
0.856,-0.013,-0.160,-25.452,33.508,-0.916
0.869,-0.031,-0.134,-21.118,34.790,-0.977
0.871,-0.010,-0.163,-21.912,36.499,0.732
0.877,-0.036,-0.194,-30.762,37.903,2.502
0.876,-0.055,-0.251,-41.260,36.682,4.761
0.902,-0.010,-0.244,-47.180,35.156,8.057
0.946,-0.005,-0.165,-48.767,32.593,9.216
0.982,0.049,-0.216,-48.096,35.400,8.911
0.984,0.094,-0.256,-43.701,37.659,7.996
0.957,0.167,-0.223,-37.659,38.330,5.066
0.902,0.144,-0.116,-32.837,38.452,0.000
0.856,0.093,-0.035,-33.142,41.992,-5.493
0.796,0.030,-0.045,-33.997,48.767,-9.460
0.760,-0.015,-0.122,-34.119,54.565,-11.963
0.726,-0.044,-0.189,-32.166,57.739,-12.695
0.720,-0.031,-0.144,-33.081,56.519,-11.719
0.715,0.010,-0.219,-38.513,57.678,-10.498
0.724,0.039,-0.287,-44.739,57.373,-10.925
0.736,0.056,-0.222,-48.828,53.345,-12.756
0.753,0.035,-0.167,-49.622,52.979,-15.564
0.769,0.004,-0.092,-48.950,55.786,-18.372
0.783,-0.004,-0.126,-48.218,62.012,-20.203
0.788,0.034,-0.214,-48.401,68.420,-21.057
0.789,0.052,-0.247,-45.410,72.083,-23.682
0.771,-0.566,-1.195,-14.587,43.396,-20.874
0.774,-0.581,-1.200,-11.597,38.208,-15.747
0.781,-0.561,-1.175,-7.874,33.203,-8.728
0.778,-0.486,-1.106,-3.296,27.649,-2.441
0.778,-0.405,-1.056,1.892,23.804,2.991
0.776,-0.336,-1.021,5.432,20.508,6.531
0.763,-0.286,-0.974,8.118,17.273,8.972
0.770,-0.218,-0.886,10.254,13.062,11.169
0.764,-0.150,-0.875,8.484,10.376,12.634
0.756,-0.090,-0.897,3.540,7.263,12.939
0.776,-0.042,-0.761,-1.343,0.244,11.780
0.790,-0.018,-0.692,-6.531,-3.174,9.521
0.790,-0.018,-0.684,-11.353,-3.418,6.958
0.791,-0.065,-0.659,-14.771,-4.639,4.028
0.796,-0.067,-0.658,-16.968,-5.188,2.869
0.807,-0.054,-0.629,-17.151,-5.737,1.953
0.817,-0.066,-0.606,-15.564,-5.676,-0.366
0.819,-0.091,-0.607,-12.573,-4.700,-2.502
0.823,-0.130,-0.566,-8.728,-4.395,-4.761
0.822,-0.171,-0.591,-5.920,-2.563,-6.348
0.826,-0.224,-0.620,-4.211,-1.404,-6.897
