aX,aY,aZ,gX,gY,gZ
0.080,0.826,-0.362,-1.587,2.319,-8.667
0.077,0.820,-0.387,-0.732,5.493,-7.751
0.080,0.840,-0.412,-4.517,8.911,-5.676
0.079,0.884,-0.415,-6.287,10.925,-3.967
0.081,0.900,-0.425,-7.019,13.123,-4.822
0.078,0.876,-0.463,-6.897,16.174,-7.568
0.071,0.843,-0.500,-6.531,17.761,-9.460
0.066,0.833,-0.525,-6.409,17.578,-9.155
0.058,0.838,-0.550,-6.958,16.418,-7.935
0.056,0.841,-0.578,-8.606,14.954,-7.263
0.053,0.841,-0.588,-10.315,11.902,-6.775
0.054,0.850,-0.575,-11.719,8.240,-6.226
0.053,0.861,-0.562,-13.916,5.493,-5.554
0.055,0.882,-0.546,-16.113,3.845,-5.127
0.061,0.893,-0.518,-17.334,2.563,-5.798
0.067,0.870,-0.502,-17.151,3.052,-8.057
0.077,0.832,-0.522,-16.174,4.944,-10.193
0.078,0.799,-0.525,-14.954,6.348,-10.620
0.081,0.792,-0.557,-12.756,8.057,-9.521
0.082,0.785,-0.584,-11.047,8.728,-8.301
0.094,0.775,-0.609,-8.972,7.629,-7.507
0.087,0.767,-0.603,-8.240,4.883,-6.165
0.086,0.785,-0.602,-7.935,2.625,-4.150
0.087,0.834,-0.621,-7.935,1.099,-2.319
0.084,0.864,-0.618,-7.080,-0.916,-2.319
0.085,0.859,-0.607,-5.676,-3.174,-3.845
0.090,0.853,-0.603,-6.287,-5.127,-5.249
0.098,0.845,-0.590,-8.362,-7.324,-5.920
0.101,0.833,-0.585,-10.498,-9.033,-6.165
0.103,0.826,-0.570,-11.780,-11.047,-6.104
0.112,0.818,-0.557,-13.000,-12.695,-5.981
0.111,0.801,-0.552,-14.282,-13.306,-5.798
0.112,0.791,-0.547,-15.503,-14.160,-4.822
0.119,0.796,-0.523,-15.869,-15.076,-3.479
0.128,0.777,-0.498,-15.259,-15.564,-3.174
0.136,0.749,-0.491,-14.832,-14.404,-2.808
0.140,0.751,-0.484,-14.893,-12.451,-0.732
0.146,0.789,-0.485,-14.465,-10.864,2.136
0.148,0.806,-0.475,-13.733,-9.155,3.052
0.152,0.799,-0.451,-13.550,-7.507,2.686
0.151,0.805,-0.462,-13.489,-3.845,2.686
0.151,0.827,-0.487,-12.207,-0.854,3.052
0.153,0.824,-0.478,-11.536,0.244,2.258
0.147,0.795,-0.468,-10.986,1.953,0.671
0.146,0.779,-0.496,-11.292,4.700,0.488
0.145,0.778,-0.524,-11.353,6.653,1.404
0.138,0.786,-0.528,-11.292,6.531,2.563
0.137,0.793,-0.525,-11.841,6.165,3.479
0.135,0.790,-0.533,-11.597,6.653,3.723
0.130,0.786,-0.546,-11.230,7.385,4.089
0.124,0.788,-0.558,-10.620,7.751,4.822
0.124,0.802,-0.572,-10.376,7.751,5.920
0.122,0.798,-0.576,-10.376,6.958,6.042
0.121,0.790,-0.579,-11.169,6.348,6.042
0.118,0.793,-0.584,-11.719,6.104,6.714
0.117,0.809,-0.580,-12.756,5.615,7.751
0.116,0.818,-0.579,-13.550,5.493,7.874
0.112,0.812,-0.586,-13.489,5.493,7.202
